state_name,year,average_labor_force,average_employed,average_unemployed,average_unemployment_rate
Idaho,1980,9772.886363636364,9000.045454545454,772.8409090909091,8.963636363636363
Idaho,1981,9772.727272727272,9022.75,749.9772727272727,8.613636363636363
Idaho,1982,10113.75,9113.681818181818,1000.0681818181819,11.270454545454545
Idaho,1983,10386.454545454546,9363.681818181818,1022.7727272727273,10.98409090909091
Idaho,1984,10545.5,9795.522727272728,749.9772727272727,8.415909090909091
Idaho,1985,10704.59090909091,9863.613636363636,840.9772727272727,8.797727272727272
Idaho,1986,10749.954545454546,9818.25,931.7045454545455,10.03409090909091
Idaho,1987,10750.181818181818,9886.431818181818,863.75,8.977272727272727
Idaho,1988,10886.5,10250.045454545454,636.4545454545455,6.7681818181818185
Idaho,1989,11113.727272727272,10545.522727272728,568.2045454545455,5.870454545454545
Illinois,1976,49600.901960784315,46355.950980392154,3244.950980392157,6.4411764705882355
Illinois,1977,51854.8431372549,48663.67647058824,3191.1666666666665,6.491176470588235
Illinois,1978,53141.96078431373,49922.44117647059,3219.5196078431372,6.6343137254901965
Illinois,1979,53222.42156862745,50299.08823529412,2923.3333333333335,6.313725490196078
Illinois,1980,54338.470588235294,49847.1568627451,4491.313725490196,9.466666666666667
Illinois,1981,54760.813725490196,50103.57843137255,4657.235294117647,9.41078431372549
Illinois,1982,54869.76470588235,48658.294117647056,6211.470588235294,12.571568627450981
Illinois,1983,54829.74509803922,48558.833333333336,6270.911764705882,13.258823529411764
Illinois,1984,54941.73529411765,49929.62745098039,5012.107843137255,11.824509803921568
Illinois,1985,55616.08823529412,50586.56862745098,5029.519607843137,11.766666666666667
Illinois,1986,55888.294117647056,51355.19607843137,4533.098039215686,10.97843137254902
Illinois,1987,56377.12745098039,52227.86274509804,4149.264705882353,10.149019607843137
Illinois,1988,56950.76470588235,53081.970588235294,3868.794117647059,9.291176470588235
Illinois,1989,58964.813725490196,55448.12745098039,3516.6862745098038,8.064705882352941
Indiana,1976,26652.315217391304,25032.66304347826,1619.6521739130435,6.322826086956522
Indiana,1977,26989.282608695652,25445.739130434784,1543.5434782608695,5.871739130434783
Indiana,1978,28228.282608695652,26630.434782608696,1597.8478260869565,6.104347826086957
Indiana,1979,28652.293478260868,26815.260869565216,1837.0326086956522,6.714130434782609
Indiana,1980,28608.858695652172,25869.630434782608,2739.228260869565,9.895652173913044
Indiana,1981,28565.282608695652,25695.641304347828,2869.641304347826,10.430434782608696
Indiana,1982,28250.130434782608,24880.478260869564,3369.6521739130435,12.527173913043478
Indiana,1983,28087.021739130436,24978.271739130436,3108.75,11.390217391304347
Indiana,1984,28543.543478260868,26087.021739130436,2456.521739130435,8.996739130434783
Indiana,1985,29728.32608695652,27391.347826086956,2336.978260869565,8.528260869565218
Indiana,1986,29989.206521739132,27967.402173913044,2021.804347826087,7.2043478260869565
Indiana,1987,29924.032608695652,28010.91304347826,1913.1195652173913,6.9021739130434785
Indiana,1988,30510.989130434784,28891.347826086956,1619.641304347826,5.755434782608695
Indiana,1989,31304.42391304348,29826.119565217392,1478.304347826087,5.144565217391304
Iowa,1976,13535.444444444445,13000.040404040405,535.4040404040404,3.716161616161616
Iowa,1977,14050.525252525253,13484.878787878788,565.6464646464647,3.9515151515151516
Iowa,1978,14343.555555555555,13767.70707070707,575.8484848484849,3.9494949494949494
Iowa,1979,14404.040404040405,13808.131313131313,595.9090909090909,3.9686868686868686
Iowa,1980,14474.808080808081,13646.525252525253,828.2828282828283,5.5181818181818185
Iowa,1981,14424.31313131313,13424.29292929293,1000.020202020202,6.356565656565657
Iowa,1982,14323.30303030303,13101.050505050505,1222.2525252525252,7.9505050505050505
Iowa,1983,14373.737373737375,13202.040404040405,1171.6969696969697,7.724242424242425
Iowa,1984,14323.29292929293,13313.20202020202,1010.0909090909091,7.0919191919191915
Iowa,1985,14303.070707070707,13161.636363636364,1141.4343434343434,8.225252525252525
Iowa,1986,14535.494949494949,13515.232323232323,1020.2626262626262,7.2414141414141415
Iowa,1987,14636.444444444445,13828.343434343435,808.10101010101,5.663636363636364
Iowa,1988,15151.585858585859,14474.747474747475,676.8383838383838,4.523232323232323
Iowa,1989,15282.878787878788,14626.272727272728,656.6060606060606,4.414141414141414
Kansas,1976,10228.628571428571,9790.542857142857,438.0857142857143,3.1076190476190475
