GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.871,82.085,87.525,87.206,91.132,95.414,89.525,90.386,91.860,94.693,95.903,99.984,101.999,105.407,112.359
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",91.833,91.576,95.416,92.346,95.487,95.892,101.674,103.036,104.108,105.852,103.210,108.877,105.994,110.357,126.565
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.031,81.582,84.451,87.786,89.031,90.839,91.979,92.069,93.962,93.957,94.712,96.063,97.508,101.574,107.286
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.408,84.054,83.587,86.004,89.090,89.466,91.438,89.335,90.362,91.009,93.864,95.036,94.861,98.468,103.616
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.970,83.527,83.750,86.049,88.105,89.455,90.264,88.610,90.514,89.357,94.606,95.660,92.861,99.616,102.166
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.242,81.308,83.816,87.877,88.216,90.415,91.765,90.176,93.107,92.365,93.518,95.562,94.384,101.462,105.934
 "13220","Beckley, WV (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",74.391,69.561,76.799,77.976,78.992,83.546,84.962,85.145,81.816,84.784,87.964,89.371,87.377,97.369,102.428
 "13380","Bellingham, WA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",85.694,90.923,90.224,95.800,96.422,96.071,98.061,98.390,96.877,100.753,106.508,107.841,108.180,114.021,122.906
 "13460","Bend, OR (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",89.617,88.402,87.791,89.501,91.341,92.977,96.412,99.429,98.895,102.690,105.725,107.534,109.119,112.079,125.290
 "13740","Billings, MT (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.655,85.153,85.960,89.840,92.617,92.241,94.308,94.203,93.179,97.136,96.085,99.059,96.442,100.679,106.447
 "13780","Binghamton, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.737,86.541,88.775,90.633,89.809,91.944,92.244,93.483,94.564,97.889,97.979,97.419,101.503,102.906,106.719
 "13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",82.985,81.799,84.750,88.030,89.036,90.588,91.048,91.075,92.857,93.398,92.283,94.508,96.105,98.945,105.783
 "13900","Bismarck, ND (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",80.376,81.940,80.411,83.296,90.090,91.942,94.071,91.224,94.431,91.091,93.331,97.563,97.116,102.621,105.693
 "13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",78.315,77.616,81.478,83.923,83.639,88.038,89.131,89.021,86.927,88.997,93.481,94.189,95.180,100.342,108.020
 "14010","Bloomington, IL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.463,85.278,88.207,88.678,91.146,91.277,92.919,92.174,92.310,92.888,96.259,98.360,96.980,101.123,107.188
 "14020","Bloomington, IN (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.110,85.881,85.959,88.619,89.080,90.177,92.242,91.783,93.900,93.649,95.652,97.843,97.735,102.318,107.867
 "14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.377,83.336,84.773,85.897,87.281,89.860,89.657,91.302,93.013,93.983,95.139,94.830,95.656,97.471,103.442
 "14260","Boise City, ID (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.917,86.888,86.462,89.991,91.384,92.294,93.142,92.309,91.542,95.833,95.475,99.061,97.990,102.258,109.329
