GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5604477,5033281,4797772,5103743,5395679,5076479,5307758,5629189,5692040,5657491,5550715,5539302,5902388,6295242,6247771
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",19964951,19064481,21058839,21635003,21643720,21204990,22310117,22933772,21820278,21761760,22395737,22852610,23579082,23304828,23685715
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",16548250,15911062,17329517,17014749,17697811,17705364,17929061,19408909,20466362,21118256,21452487,21818334,23383996,23617931,23129918
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",4617683,4816182,4574713,4442924,4401186,4297339,4372763,4452803,4463606,4587200,4796801,4741534,5143493,5476719,5073195
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",9910646,10031766,10095866,10607930,10787640,10730978,11209876,11796099,12132756,12540075,12645340,13003026,13895461,14192298,13842917
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",17362717,17321186,17078492,17229470,17711057,17508135,18367046,19750938,20015765,20979139,21980039,22913556,24216508,25533749,25082779
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",6739333,6691225,6677741,6839481,7084196,7102366,7513892,8114146,8254737,8631394,9182668,9540093,10234714,10321124,10150461
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",236267171,237903921,231284141,246995627,243090980,245867565,261343274,279916862,290955781,302622364,316881327,331080560,344477972,362209414,348926372
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",10928124,11004305,10996890,11316724,11324632,11678343,11823588,11719677,11791657,12454643,12438993,13423954,13974193,14976888,13507055
 "12220","Auburn-Opelika, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (thousands of constant (2017) dollars) ","Thousands of constant 2017 dollars",5028512,5153749,5238900,5257208,5578214,5581871,5825580,6326970,6455109,6686115,6888413,7176452,7757915,8221132,8224864
