GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "36000","New York",2,SARPP,1,"...","RPPs: All items ","Index",111.455,111.204,110.132,110.978,109.733,109.791,108.954,109.666,110.138,109.945,109.587,109.565,110.127,109.685,107.599
 "37000","North Carolina",5,SARPP,1,"...","RPPs: All items ","Index",92.409,91.214,92.813,93.521,93.471,93.683,93.788,93.552,93.771,93.056,92.916,91.915,91.358,93.765,94.204
 "38000","North Dakota",4,SARPP,1,"...","RPPs: All items ","Index",85.946,87.879,89.176,89.643,92.068,92.349,92.576,91.178,91.708,88.706,91.212,93.261,91.948,90.946,88.656
 "39000","Ohio",3,SARPP,1,"...","RPPs: All items ","Index",92.550,93.518,93.155,92.236,93.037,93.285,93.064,92.269,92.408,91.938,92.932,93.258,91.925,92.146,91.450
 "40000","Oklahoma",6,SARPP,1,"...","RPPs: All items ","Index",89.494,88.408,90.456,90.870,91.179,91.465,91.779,91.327,91.480,90.916,89.659,89.310,89.660,89.902,88.771
 "41000","Oregon",8,SARPP,1,"...","RPPs: All items ","Index",97.934,100.232,99.286,99.774,101.112,100.146,99.747,101.144,99.595,101.486,104.706,103.847,103.177,103.102,106.565
 "42000","Pennsylvania",2,SARPP,1,"...","RPPs: All items ","Index",99.232,99.598,99.069,98.473,98.025,97.858,97.250,98.205,97.815,99.123,98.133,98.035,97.691,96.165,96.218
 "44000","Rhode Island",1,SARPP,1,"...","RPPs: All items ","Index",103.855,104.293,102.110,101.304,99.934,101.540,100.436,102.176,101.725,102.476,102.076,102.346,101.793,102.083,104.700
 "45000","South Carolina",5,SARPP,1,"...","RPPs: All items ","Index",91.927,90.965,92.596,93.143,93.360,93.258,93.198,93.289,93.609,92.868,92.261,91.531,90.889,93.637,93.551
 "46000","South Dakota",4,SARPP,1,"...","RPPs: All items ","Index",85.044,86.070,88.863,87.321,90.380,90.265,89.448,87.890,87.387,87.275,91.253,91.862,91.394,90.070,87.991
 "47000","Tennessee",5,SARPP,1,"...","RPPs: All items ","Index",91.662,90.449,92.269,92.839,93.362,92.944,92.747,92.777,93.781,93.074,89.660,91.275,90.564,90.597,91.797
 "48000","Texas",6,SARPP,1,"...","RPPs: All items ","Index",96.977,96.653,97.591,96.925,97.646,98.048,98.364,98.223,98.024,97.372,97.745,98.444,98.807,98.421,97.512
 "49000","Utah",7,SARPP,1,"...","RPPs: All items ","Index",96.975,100.036,97.291,99.824,99.423,98.575,97.934,97.656,97.082,98.708,95.977,97.239,95.255,94.591,94.471
 "50000","Vermont",1,SARPP,1,"...","RPPs: All items ","Index",100.885,101.704,99.614,99.253,100.050,100.497,98.076,100.159,98.332,100.398,100.239,99.572,102.128,98.611,101.096
 "51000","Virginia",5,SARPP,1,"...","RPPs: All items ","Index",103.145,102.361,103.586,103.378,102.471,103.515,103.455,103.591,102.805,101.267,102.018,100.108,101.026,102.329,102.137
 "53000","Washington",8,SARPP,1,"...","RPPs: All items ","Index",104.513,104.620,102.608,103.205,102.509,102.450,103.861,104.344,105.555,107.451,107.124,107.989,107.781,108.828,109.849
 "54000","West Virginia",5,SARPP,1,"...","RPPs: All items ","Index",87.601,86.614,88.829,89.240,89.267,90.200,89.834,90.535,89.796,89.026,89.427,88.551,87.336,90.977,89.245
 "55000","Wisconsin",3,SARPP,1,"...","RPPs: All items ","Index",93.276,94.224,94.858,93.773,94.356,93.911,93.832,93.314,93.234,93.540,93.951,94.430,92.647,93.220,92.310
 "56000","Wyoming",7,SARPP,1,"...","RPPs: All items ","Index",95.310,96.638,95.492,97.638,96.284,97.350,97.424,96.972,97.747,97.185,92.345,94.108,91.826,91.489,91.903
 "00000","United States", ,SARPP,2,"..."," RPPs: Goods ","Index",99.497,99.450,99.538,99.533,99.564,99.571,99.584,99.583,99.583,99.564,99.540,99.575,99.549,99.572,99.550
 "01000","Alabama",5,SARPP,2,"..."," RPPs: Goods ","Index",95.966,93.984,96.303,95.863,95.135,96.143,96.138,95.078,95.915,95.451,92.523,94.656,94.375,93.958,94.623
 "02000","Alaska",8,SARPP,2,"..."," RPPs: Goods ","Index",105.925,105.720,104.099,103.569,101.594,100.198,99.985,104.554,107.481,107.743,103.184,100.530,101.555,109.156,105.527
 "04000","Arizona",6,SARPP,2,"..."," RPPs: Goods ","Index",102.954,106.398,100.098,98.955,98.250,97.606,97.755,98.568,97.865,97.198,95.837,96.006,100.089,95.174,98.112
 "05000","Arkansas",5,SARPP,2,"..."," RPPs: Goods ","Index",95.942,93.772,96.536,95.920,94.388,95.308,94.652,93.843,94.797,94.500,93.047,94.726,94.378,95.646,92.998
 "06000","California",8,SARPP,2,"..."," RPPs: Goods ","Index",107.408,104.678,103.033,103.588,104.082,104.288,104.342,105.568,104.409,104.455,105.479,106.147,106.594,108.097,108.348
 "08000","Colorado",7,SARPP,2,"..."," RPPs: Goods ","Index",104.463,102.120,101.334,101.647,101.394,101.082,100.263,99.891,99.885,99.613,97.621,101.619,102.129,101.876,101.224
 "09000","Connecticut",1,SARPP,2,"..."," RPPs: Goods ","Index",109.357,108.556,103.620,103.772,104.600,104.285,103.441,103.220,103.625,104.396,101.428,98.735,99.071,96.869,101.249
 "10000","Delaware",2,SARPP,2,"..."," RPPs: Goods ","Index",103.492,101.936,101.524,102.502,99.450,97.127,95.645,97.130,98.618,96.508,96.907,95.810,94.569,94.657,94.798
 "11000","District of Columbia",2,SARPP,2,"..."," RPPs: Goods ","Index",112.191,112.777,109.514,107.859,105.852,110.869,105.611,105.830,106.549,104.635,107.152,104.830,105.694,107.991,107.718
 "12000","Florida",5,SARPP,2,"..."," RPPs: Goods ","Index",98.894,96.984,97.189,97.278,97.950,98.538,98.218,97.291,97.417,98.361,97.732,96.155,97.386,98.390,98.096
 "13000","Georgia",5,SARPP,2,"..."," RPPs: Goods ","Index",94.417,95.879,96.443,96.723,97.142,97.779,97.108,96.835,97.028,97.128,97.800,96.486,96.484,96.687,97.859
